CRICOS Provider Code,Trading Name,Institution Name,Institution Type,Institution Capacity,Website,Postal Address Line 1,Postal Address Line 2,Postal Address Line 3,Postal Address Line 4,Postal Address City,Postal Address State,Postal Address Postcode
00496D,The Glennie School,The Corporation of the Synod of the Diocese of Brisbane - The Glennie School,Private,50,,Herries Street,,,,TOOWOOMBA,QLD,4350
00499A,Ipswich Grammar School,Board of Trustees of the Ipswich Grammar School,Private,60,www.ipswichgrammar.com,Darling Street,,,,IPSWICH,QLD,4305
00500B,"John Paul College, John Paul International College",John Paul College Limited,Private,500,,John Paul Drive,,,,DAISY HILL,QLD,4127
00503K,Lourdes Hill College,Lourdes Hill College,Private,40,www.lhc.qld.edu.au,86 Hawthorne Road,,,,HAWTHORNE,QLD,4171
00506G,The Cathedral College,The Roman Catholic Trust Corporation for the Diocese of Rockhampton,Private,10,www.tccr.com.au,PO Box 8207,Allenstown,,,ROCKHAMPTON,QLD,4700
00507F,Rockhampton Grammar School; The Rockhampton English Language Academy,Board of Trustees of the Rockhampton Grammar School,Private,50,www.rgs.qld.edu.au,Archer Street,,,,ROCKHAMPTON,QLD,4700
00508E,Rockhampton Girls' Grammar School,Board of the Trustees of the Rockhampton Girls' Grammar School,Private,20,www.rggs.qld.edu.au,PO Box 776,,,,ROCKHAMPTON,QLD,4700
00509D,St Augustine's College,The Roman Catholic Trust Corporation for the Diocese of Cairns,Private,15,www.sac.qld.edu.au,251 Draper Street,,,,CAIRNS,QLD,4870
00510M,St Hilda's School,The Corporation of the Synod of the Diocese of Brisbane - St Hilda's School,Private,100,,PO Box 290,,,,SOUTHPORT,QLD,4215
00511K,St Margaret's Anglican Girls School,St Margaret's School Council Ltd,Private,100,www.stmagarets.qld.edu.au,11 Petrie Street,,,,ASCOT,QLD,4007
00515F,St Paul's School,The Corporation of the Synod of the Diocese of Brisbane,Private,200,www.stpauls.qld.edu.au,34 Strathpine Road,,,,BALD HILLS,QLD,4036
00516E,St Peters Lutheran College,Lutheran Church of Australia - Queensland District,Private,110,www.stpeters.qld.edu.au,PO Box 111,,,,INDOOROOPILLY,QLD,4068
00521G,Somerset College,Somerset College Limited,Private,40,www.somerset.qld.edu.au,Somerset Drive,,,,MUDGEERABA,QLD,4213
00522G,Somerville House,The Presbyterian and Methodist Schools Association,Private,100,www.somerville.qld.edu.au,PO Box 3357,,,,SOUTH BRISBANE,QLD,4101
00523F,The Southport School,The Corporation of the Synod of the Diocese of Brisbane,Private,100,www.tss.qld.edu.au,Winchester Street,,,,SOUTHPORT,QLD,4215
00524E,Stuartholme School,Stuartholme School,Private,100,www.stuartholme.com,Birdwood Terrace,,,,TOOWONG,QLD,4066
00525D,Toowoomba Grammar School,Board of Trustees of the Toowoomba Grammar School,Private,30,www.twgs.qld.edu.au,PO Box 2900,,,,TOOWOOMBA,QLD,4350
00533D,Ipswich Girls' Grammar School including Ipswich Junior Grammar School,Board of Trustees of the Ipswich Girls' Grammar School,Private,70,www.iggs.qld.edu.au,Po Box 16,,,,IPSWICH,QLD,4305
00537M,The SCOTS PGC College,The Uniting Church in Australia Property Trust (Q.),Private,50,www.scotspgc.qld.edu.au,60 Oxenham Street,,,,WARWICK,QLD,4370
00539J,Suncoast Christian College,Christian Outreach Centre,Private,20,www.suncoastcc.qld.edu.au,PO Box 5254,,,,NAMBOUR,QLD,4560
00540E,Bethel Christian School,Bethel Christian School Limited,Private,30,www.bethel.nsw.edu.au,PO Box 3080,,,,MOUNT DRUITT VILLAGE,NSW,2770
00544A,Kinross Wolaroi School,Kinross Wolaroi School,Private,25,www.kws.nsw.edu.au,Locked Bag No 4,,,,ORANGE,NSW,2800
00557G,Ballarat Clarendon College,Ballarat and Clarendon College,Private,50,,1425 Sturt Street,,,,BALLARAT,VIC,3350
00558F,,Loyola College,Private,15,www.loyola.vic.edu.au,325 Grimshaw Street,,,,WATSONIA,VIC,3087
00561M,Eynesbury College/Eynesbury Institute of Business and Technology/Eynesbury College Academy of English/Eynesbury/Eynesbury International,Educational Enterprises Australia Pty Ltd,Private,"1,400",www.eynesbury.navitas.com,15-19 Franklin Street,,,,ADELAIDE,SA,5000
00563J,,Walford Anglican School for Girls,Private,40,walford.net.au,PO Box 430,,,,UNLEY,SA,5061
00564G,Townsville Grammar School,Board of Trustees of the Townsville Grammar School,Private,70,www.tgs.qld.edu.au,45 Paxton Street,North Ward,,,TOWNSVILLE,QLD,4810
00572G,St Joseph's Nudgee College,Edmund Rice Education Australia Colleges Ltd,Private,80,www.nudgee.com,PO Box 130,,,,VIRGINIA,QLD,4014
00574F,St. Catherine's School,St. Catherine's School,Private,80,www.stcatherines.net.au,17 Heyington Place,,,,TOORAK,VIC,3142
00577C,Strathcona Baptist Girls Grammar School,Strathcona Baptist Girls Grammar School Limited,Private,90,www.strathcona.vic.edu.au,34 Scott Street,,,,CANTERBURY,VIC,3126
00578B,Heathdale Christian College,Heathdale Christian College Limited,Private,12,www.heathdale.vic.edu.au,P O Box 1042,,,,WERRIBEE PLAZA,VIC,3030
00580G,,Canberra Grammar School,Private,30,www.cgs.act.edu.au,Monaro Crescent,,,,RED HILL,ACT,2603
00581G,Concordia Lutheran College,Lutheran Church of Australia - Queensland District,Private,50,,154 Stephen Street,,,,TOOWOOMBA,QLD,4350
00586B,,University of Tasmania (UTas),Government,"9,861",www.utas.edu.au/international,Private Bag 45,,,,HOBART,TAS,7001
00588M,NSW Department of Education (Schools),NSW Department of Education,Government,"5,000",www.deinternational.nsw.edu.au,PO Box 414,,,,Alexandria,NSW,1435
00591E,TAFE NSW Technical and Further Education Commission; TAFE NSW Higher Education,Technical and Further Education Commission,Government,"6,391",https://www.tafensw.edu.au/international,PO Box 707,,,,Broadway,NSW,2700
00602G,Westminster School Inc,Westminster School Inc,Private,60,www.westminster.sa.edu.au,Alison Avenue,,,,MARION,SA,5043
00603F,,Saint Ignatius' College,Private,10,www.ignatius.sa.edu.au,2 Manresa Court,,,,ATHELSTONE,SA,5076
00607B,Sarina Russo Institute,Sarina Russo Schools Australia Pty Ltd,Private,"1,250",www.sri.edu.au and www.srienglish.edu.au,GPO Box 2304,,,,BRISBANE,QLD,4000
00608A,Education Queensland International,Department of Education,Government,"4,434",www.eqi.com.au,PO Box 15050,,,,Brisbane City East,QLD,4002
